Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54763E+12;7937758;-48363075;-20731021;-8546841;736;562;0;0
1,54763E+12;-4145157;-10850712;-11787954;-9268366;741;560;0;0
1,54763E+12;-15430456;1134464;58294;-9552358;743;559;0;0
1,54763E+12;-89343406;31307715;-25795966;-7570303;742;559;0;0
1,54763E+12;14433873;47809803;-8435176;-7839354;741;559;0;0
1,54763E+12;17784905;-2964267;-2110452;-95238085;737;560;0;0
1,54763E+12;29338984;6021386;-56129787;-880324;730;560;0;0
1,54763E+12;-97337015;-994,8377;-6731735;-8504281;721;561;0;0
1,54763E+12;-3345796;59166662;-6731735;-8563179;713;563;0;0
1,54763E+12;38920842;8044223;-11416198;-8651601;710;564;0;0
1,54763E+12;8789478;13154547;-12693779;-8942515;709;564;0;0
1,54763E+12;14166838;27153832;-8435176;-8729326;711;564;0;0
1,54763E+12;-21223204;44189993;-3324852;-8525685;706;563;0;0
1,54763E+12;-20682152;14112732;-641234;-896349;709;563;0;0
1,54763E+12;1134464;46373397;-16737707;-933279;716;562;0;0
1,54763E+12;25080381;14006267;12514011;-883787;718;562;0;0
1,54763E+12;479791;-9361946;-14023721;-8015136;721;562;0;0
1,54763E+12;-9466666;8735373;-5454154;-9052477;716;562;0;0
1,54763E+12;230558;9267698;-11096803;-9231764;706;563;0;0
1,54763E+12;30082494;19542451;-9393362;-9630562;718;563;0;0
1,54763E+12;20500638;4323006;-9393362;-8512068;714;561;0;0
1,54763E+12;-35587262;1113171;-6571165;-9424277;699;559;0;0
1,54763E+12;-3398156;43179445;-3164282;-8847964;700;558;0;0
1,54763E+12;13369222;8895943;-2701246;-8480578;706;556;0;0
1,54763E+12;-888198;-20158553;-21795672;-9611399;709;555;0;0
1,54763E+12;-27459264;-6487389;-2765125;-8403026;708;551;0;0
1,54763E+12;-1585457;11763519;-24830799;-930203;710;551;0;0
1,54763E+12;22045253;75118974;-19027579;-9322878;693;551;0;0
1,54763E+12;10386454;37215656;-12587315;-10166059;679;551;0;0
1,54763E+12;14006267;15868534;-24190264;-9368234;665;551;0;0
1,54763E+12;59166662;34074062;-9606292;-9404577;624;549;0;0
1,54763E+12;-41434117;431777;-15674803;-9151098;585;544;0;0
1,54763E+12;-25830872;5637937;13439035;-9765001;520;540;0;0
1,54763E+12;39461896;4578522;-24724334;-8694132;425;533;0;0
1,54763E+12;13847442;2875081;-14023721;-10071784;392;522;0;0
1,54763E+12;16561429;-4044975;-8328711;-998972;355;508;0;0
1,54763E+12;24867451;-13301153;5602507;-9508256;285;496;0;0
1,54763E+12;90024084;-1409877;-1834341;-9852131;283;490;0;0
1,54763E+12;-29722957;-6593854;5935865;-9007169;298;484;0;0
1,54763E+12;1977458;-22350687;7745771;-9039865;262;475;0;0
1,54763E+12;-1484228;1720022;13439035;-11589315;263;464;0;0
1,54763E+12;28487265;21404718;22172663;-70798464;212;453;0;0
1,54763E+12;-19634955;52014303;3647738;-8898232;206;458;0;0
1,54763E+12;-9466666;3146654;5883505;-10078258;277;461;0;0
1,54763E+12;-132121425;-12714724;115785144;-9561226;267;468;0;0
1,54763E+12;-132121425;-12714724;115785144;-9561226;171;471;0;0
1,54763E+12;93235485;-8574977;15145968;-9225328;128;473;0;0
1,54763E+12;-64315386;-17772688;3697131;-9429525;111;477;0;0
1,54763E+12;-21975441;-13301153;35959017;-9420973;173;479;0;0
1,54763E+12;-16971582;-8255582;35161403;-9073479;230;480;0;0
1,54763E+12;-34805354;1160993;24354324;-9689526;278;482;0;0
1,54763E+12;-27724555;-56684804;42027527;-9340873;344;486;0;0
1,54763E+12;-9944886;-108524576;44050366;-9209881;404;491;0;0
1,54763E+12;-33154273;-1447227;3218038;-9057562;463;498;0;0
1,54763E+12;-38957494;410484;39207077;-998158;519;506;0;0
1,54763E+12;-16226326;-393851;29518753;-8311271;557;512;0;0
1,54763E+12;-13138838;-18411478;3111573;-8389589;580;513;0;0
1,54763E+12;-5953318;-31241393;7639306;-78301506;599;517;0;0
1,54763E+12;-12554154;15603243;57229348;-8511052;625;518;0;0
1,54763E+12;3466224;21345377;-8761553;-852897;659;521;0;0
