Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54765E+12;-17503907;9531243;22724187;-9191935;850;255;904;632
1,54765E+12;-102119215;8147197;4082325;-9129771;850;257;900;631
1,54765E+12;-13618805;13631022;45081854;-9569662;849;257;899;631
1,54765E+12;-11011282;1219287;18989183;-9074734;847;260;897;631
1,54765E+12;-824319;8520697;-5126032;-9098264;846;266;898;630
1,54765E+12;54890607;23980824;-75206235;-9238055;843;277;898;630
1,54765E+12;19755381;-28169613;-11513937;-9145879;840;282;899;629
1,54765E+12;25717425;-6649704;-105557516;-942261;838;284;900;627
1,54765E+12;34288737;-12079424;-101298906;-9626376;838;282;901;628
1,54765E+12;4057018;-26179939;-109275065;-9298878;836;282;903;627
1,54765E+12;43870595;-4733333;-13482669;-8881837;831;283;904;628
1,54765E+12;41263074;25586527;-17156586;-9244932;822;281;906;628
1,54765E+12;3492753;3303908;-20083503;-9255888;808;278;908;632
1,54765E+12;31094787;3228859;-27216664;-9348208;783;279;909;635
1,54765E+12;29391345;23457225;-29345965;-9456656;749;277;915;643
1,54765E+12;3104068;36756635;-29293606;-9493143;715;273;915;643
1,54765E+12;33969343;7189011;-2104169;-9868305;707;268;918;643
1,54765E+12;435512;-4998623;-11620402;-9546429;713;263;920;643
1,54765E+12;45893434;-20769418;-10662217;-9665479;718;261;921;643
1,54765E+12;39505526;-23369959;-10501646;-9102976;718;257;921;643
1,54765E+12;47650978;-803375;-24396212;-10242787;708;244;921;643
1,54765E+12;4871563;-9098402;-17156586;-9548345;685;205;923;644
1,54765E+12;61011475;2598097;-17582446;-8508561;651;159;929;648
1,54765E+12;71818554;33060026;-22851595;-8714913;626;157;932;648
1,54765E+12;74639004;9637708;-31155872;-9650931;621;156;934;648
1,54765E+12;91354024;-17523106;-3653323;-94312105;608;133;935;657
1,54765E+12;9108699;-12185889;-56548667;-8892765;523;67;935;680
1,54765E+12;89650583;-18360864;-49734902;-9741969;380;14;935;712
1,54765E+12;57658696;-17296213;-26099652;-10293391;422;3;936;726
1,54765E+12;5419771;-3486295;-1364324;-10010205;470;8;936;733
1,54765E+12;46532223;-16870353;7278023;-9385769;490;28;935;733
1,54765E+12;50364965;-9524262;84997535;-9648537;401;101;933;733
1,54765E+12;2843316;-2391101;10416125;-11130672;428;148;934;733
1,54765E+12;2321637;-21767746;5199336;-9507001;618;178;932;731
1,54765E+12;38280305;-36826448;7382743;-11347415;693;181;930;728
1,54765E+12;24973916;-69690995;15367624;-10904228;846;190;915;722
1,54765E+12;23483405;-104824476;35915387;-7950761;901;215;837;687
1,54765E+12;1666964;-16125096;3043156;-75653424;921;267;343;621
1,54765E+12;10281735;-3214722;2606649;-9645712;930;288;11;537
1,54765E+12;-11967722;-25387558;2910162;-9531748;934;292;35;429
1,54765E+12;-1478992;-1889319;30911526;-8811237;937;272;125;346
1,54765E+12;-20165534;-30763173;32347932;-937896;938;273;297;284
1,54765E+12;-9040806;-42421973;37405896;-76301293;937;297;404;255
1,54765E+12;-28523916;-50619787;25853562;-7939977;935;329;462;241
1,54765E+12;-34166566;-32040754;81279986;-8370895;933;351;437;258
1,54765E+12;-35496506;-23151793;-34225907;-8993665;930;366;437;258
