Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54764E+12;386381;5494645;1664695;-9678178;770;276;940;671
1,54764E+12;5817357;65327674;4012163;-79333405;765;275;938;673
1,54764E+12;29056242;38444367;53075463;-7987488;760;274;938;675
1,54764E+12;15882496;15234978;67456976;-79707284;757;273;937;677
1,54764E+12;55274576;45884706;-75188786;-8856603;756;272;936;679
1,54764E+12;11541862;-7853982;-14119713;-8906076;756;272;936;679
1,54764E+12;10266027;18109536;-117774814;-921218;757;273;936;679
1,54764E+12;20486675;16032594;-6667158;-874079;757;274;936;678
1,54764E+12;18942058;13053317;-45378562;-8913785;757;275;937;677
1,54764E+12;5688028;18961257;3839,7242;-85689335;758;277;937;676
1,54764E+12;-9908234;35889205;4829326;-913704;759;277;937;675
1,54764E+12;-19757127;17842501;-46443213;-8567584;761;276;936;675
1,54764E+12;5412964;49890235;-6632,2513;-9665584;761;272;934;675
1,54764E+12;3693466;5153957;19006636;-9062235;761;268;931;676
1,54764E+12;4183205;60802037;11856022;-9145276;760;265;930;677
1,54764E+12;365088;5441413;57072267;-8069063;758;262;930;678
1,54764E+12;36456436;3434459;-17697638;-8974196;757;261;931;678
1,54764E+12;35976472;3338815;34976397;-8080306;757;258;933;678
1,54764E+12;78136647;-81855945;-60283672;-8405104;753;258;933;678
1,54764E+12;7020587;-6428047;18483037;-8980794;747;259;934;678
1,54764E+12;6179513;-1526465;3338815;-8841116;740;259;934;679
1,54764E+12;12288863;33108898;3817035;-8701266;737;260;934;680
1,54764E+12;1537635;-22825415;53616516;-8808976;735;262;935;680
1,54764E+12;7550294;-14254104;36041047;-8725965;731;264;936;680
1,54764E+12;1500285;-893085;33911746;-8907158;725;264;937;681
1,54764E+12;10957177;-1542522;5148721;-812503;719;263;937;682
1,54764E+12;6379178;-3070383;-10606366;-76239233;715;264;938;683
1,54764E+12;-39557886;57595864;15812684;-9399646;715;265;938;684
1,54764E+12;-76201074;-13561209;-4379031;-8514499;714;266;938;684
1,54764E+12;-9482374;-81855945;-51242866;-8777249;712;266;938;684
1,54764E+12;-9375909;-21226694;-12363912;-914384;710;266;937;684
1,54764E+12;-18638371;-52045718;-24085544;-9758365;712;266;938;684
1,54764E+12;7701963;-84255767;26919958;-8779854;715;267;938;683
1,54764E+12;48061132;3630285;18296286;-50212154;717;266;939;682
1,54764E+12;12688544;-7546803;-17697638;-9048828;720;267;939;681
1,54764E+12;19474384;-19582594;29129544;-856156;722;267;939;679
1,54764E+12;888198;7408923;13772394;-9307383;726;266;940;677
1,54764E+12;-57817525;21888174;-23561945;-7212466;731;266;941;676
1,54764E+12;-23961625;30085987;-13980087;-8069054;735;268;941;674
1,54764E+12;-7140142;19600047;33911746;-8424545;739;268;942;674
1,54764E+12;24265313;23591615;28588492;-8422878;744;267;942;674
