Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54764E+12;-5511924;8154178;-22047;9232244;883;265;892;542
1,54764E+12;8386307;32780772;-20237093;8703268;881;257;896;550
1,54764E+12;26591837;37358773;-24574235;8943866;881;252;900;558
1,54764E+12;51923543;13936454;-10655235;9371738;882;242;903;565
1,54764E+12;25830872;30812043;-18905406;9079866;881;232;906;571
1,54764E+12;-8806931;3459068;-18959512;88207;881;229;912;577
1,54764E+12;-9445722;16704546;-72483525;8630925;880;228;915;584
1,54764E+12;-19390607;14276793;9838421;8944019;879;227;916;587
1,54764E+12;551175;11168362;13990559;889828;879;225;918;591
1,54764E+12;18606955;2438225;21495475;9119763;879;222;920;594
1,54764E+12;25579545;-59166662;19685568;9721483;879;216;922;595
1,54764E+12;6841691;-11798426;17470745;9768343;879;208;924;597
1,54764E+12;13596115;21188296;16929694;91454;878;213;924;600
1,54764E+12;29565878;-5810201;5206317;9567287;878;221;924;602
1,54764E+12;7747517;-12091641;31311207;9740158;879;226;922;603
1,54764E+12;95033176;14800392;2024582;9071227;876;230;918;602
1,54764E+12;56199604;16929694;5312782;941177;874;233;916;599
1,54764E+12;-14067354;-6108,6525;76026544;8949439;873;237;915;598
1,54764E+12;-12479104;-9749409;69097586;9578502;869;242;914;597
1,54764E+12;-6197664;-13475688;7347836;9093533;868;244;912;598
1,54764E+12;-21519909;-8152433;4834562;9656016;867;243;913;597
1,54764E+12;-17800613;-13386675;-79395026;9706851;866;243;913;598
1,54764E+12;-12266174;-47996555;-6874852;9437522;865;247;913;597
1,54764E+12;-9978047;-9697049;-17645279;8754379;861;251;913;599
1,54764E+12;-10562733;-20928243;56321774;8399042;858;261;911;599
1,54764E+12;567232;-32587042;24104743;9259087;854;267;907;600
1,54764E+12;-3694862;-43127087;18940313;10190316;853;283;906;596
1,54764E+12;45012042;-24335125;10051351;9791701;850;299;905;592
1,54764E+12;-72082095;-44191736;12819444;9154546;847;309;898;588
1,54764E+12;-5676683;-8258898;40893063;9361941;844;312;888;586
1,54764E+12;-45216244;-10192723;59515726;8455296;844;308;881;582
1,54764E+12;-22273892;-12678072;24923302;9312535;846;305;875;573
1,54764E+12;-50265484;-10068805;-52255157;9214392;850;299;876;558
1,54764E+12;-2062281;-26038566;-8258898;9007791;854;288;878;539
1,54764E+12;-7740535;5237035;-25773278;9478338;857;288;880;528
1,54764E+12;10782644;21123719;-18001325;8780266;860;289;886;518
1,54764E+12;1818284;49122292;-18533652;85822935;866;281;890;513
1,54764E+12;7162831;35922366;-60772363;8086502;877;274;884;504
1,54764E+12;-21580996;-16084954;-59707712;8774079;886;293;869;480
1,54764E+12;-683471;-3306701;-12411036;10127512;891;297;875;465
1,54764E+12;36334264;-4211654;-4610811;937261;895;290;886;457
1,54764E+12;6848672;-54147094;-49408525;10029254;897;286;891;450
1,54764E+12;85255843;-2225993;-4408527;72621884;897;279;893;451
1,54764E+12;5757492;-1028348;-11878711;79614487;895;265;908;452
1,54764E+12;5778785;-103358395;-12997466;8126093;892;251;922;460
1,54764E+12;8377,5807;-13210396;-14992379;8890868;882;240;927;466
1,54764E+12;8386307;18535396;16013396;8902762;872;223;930;477
1,54764E+12;4123166;20484929;16917476;9593049;854;208;933;496
1,54764E+12;4959004;35548866;12552407;9135498;817;186;934;513
1,54764E+12;32077405;28202775;8412487;8398544;821;178;932;534
1,54764E+12;2819056;34271285;-8604473;8415954;847;177;928;536
1,54764E+12;29059732;16917476;53668875;8569404;850;180;925;532
