Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54765E+12;-4982915;7958702;-15933111;-9291925;728;502;922;528
1,54765E+12;16947147;-4632104;-54995324;-9989328;726;503;922;527
1,54765E+12;21577506;-25392795;43476153;-8813085;722;504;922;527
1,54765E+12;201411;-21772982;34417894;-9542407;726;506;922;526
1,54765E+12;11677998;-10122909;24836035;-9240172;729;508;922;526
1,54765E+12;11517428;3190462;22183135;-9067493;732;509;921;523
1,54765E+12;9707521;-53249996;-17627826;-8897179;734;509;921;520
1,54765E+12;44924773;3700098;6736971;-9524795;735;507;921;518
1,54765E+12;-27995082;48651052;23771385;-1010063;732;506;922;518
1,54765E+12;-21324433;74176495;-17191494;-9593346;730;504;922;518
1,54765E+12;-3069336;24377014;10471975;-9327427;733;504;922;519
1,54765E+12;-23240805;17297958;62098816;-9438307;736;501;923;520
1,54765E+12;-19514526;22247712;6476917;-9353055;736;498;924;522
1,54765E+12;-20631537;23366468;83932884;-8931416;734;495;925;523
1,54765E+12;-14563027;17085028;9245009;-9138535;732;492;926;526
1,54765E+12;-514174;16605063;26441738;-898903;734;487;926;527
1,54765E+12;3960152;7822566;23247786;-9248015;737;483;927;529
1,54765E+12;-41835543;51068332;20053834;-9048473;735;482;927;530
1,54765E+12;-38100537;13891076;-2677335;-919678;733;479;927;530
1,54765E+12;8271115;-596379;-3741986;-9629201;734;472;927;531
1,54765E+12;11465068;-46862092;78016217;-9124848;734;469;928;531
1,54765E+12;11412708;14870205;-5232497;-9184886;734;463;928;531
1,54765E+12;13009684;-38344882;-5338962;-8865394;729;462;928;531
1,54765E+12;2157925;670381;-113446405;-9433174;727;464;928;531
1,54765E+12;19664624;-33562683;30159289;-9174896;723;465;928;531
1,54765E+12;15032521;7023205;9670869;-9447137;723;463;928;531
1,54765E+12;11625638;18573794;14568263;-956337;724;461;928;531
1,54765E+12;22567106;93654364;55710908;-90575905;728;453;928;532
1,54765E+12;-119014;26345745;88715084;-91572275;725;450;927;533
1,54765E+12;-16372934;20277235;7435103;-9114275;728;442;927;534
1,54765E+12;-11847295;20011945;5518731;-9342185;732;437;927;534
1,54765E+12;-30647982;16817993;23247786;-8850271;733;431;927;534
1,54765E+12;27890362;21395992;-14538593;-8885525;732;431;927;535
1,54765E+12;9869837;1341111;29094638;-9177885;732;436;927;535
1,54765E+12;6250024;408791;26441738;-9360017;736;438;927;534
1,54765E+12;14767231;18414968;8866273;-8896939;735;440;928;533
1,54765E+12;726057;10056587;-18256145;-8792571;738;442;928;533
1,54765E+12;-4022984;16999507;-8267625;-9009477;739;442;928;532
1,54765E+12;-3968879;4574508;-6510078;-917278;739;442;928;533
1,54765E+12;52377332;21781709;-101298906;-8843569;735;439;928;534
1,54765E+12;59306286;9843657;-11407472;-9295555;734;434;928;535
1,54765E+12;104021624;10588913;-6244788;-9162266;734;423;928;536
1,54765E+12;17109463;14847516;-43284167;-8919503;731;399;928;537
1,54765E+12;15938346;1990548;-19320795;-9137327;731;387;928;540
1,54765E+12;2067517;2517463;9407325;-8953644;728;375;925;543
1,54765E+12;-6736971;-13334315;-23579398;-85766535;713;374;923;545
1,54765E+12;2417281;89919366;-17732546;-95048275;712;370;922;548
1,54765E+12;30037116;-25569074;-4860742;-9467622;718;363;920;554
1,54765E+12;-13072516;10855948;-698,1317;-9089022;723;362;919;555
1,54765E+12;55588737;17882644;3070034;-9412248;719;366;918;556
1,54765E+12;-11154399;3190462;39741147;-8482293;718;376;918;555
1,54765E+12;-8225737;56915186;26965337;-9368492;713;390;917;554
1,54765E+12;-11367329;14870205;8342674;-8891701;703;404;918;554
1,54765E+12;-13283701;7941248;408407;-8739822;694;411;918;552
1,54765E+12;-12060225;760789;9407325;-9571223;698;422;917;549
1,54765E+12;-26371924;30230847;50387654;-8968297;697;437;919;536
1,54765E+12;-12911946;23471187;100967295;-8774998;698;449;916;530
1,54765E+12;-115279;17563248;13981833;-929204;703;458;916;530
1,54765E+12;-22493804;10855948;8339183;-9009506;709;465;911;522
1,54765E+12;-17807594;21235421;73809974;-8949172;713;467;911;514
1,54765E+12;-13442525;11492993;7806858;-8747618;716;472;911;505
1,54765E+12;-2627244;-24436355;103620194;-8470264;711;478;911;505
1,54765E+12;-14454816;5105088;7967428;-9295843;711;486;911;491
1,54765E+12;-6628761;-14641567;13503613;-8174207;708;491;912;474
1,54765E+12;-2504722;-27790877;5518731;-8568963;700;493;912;456
1,54765E+12;-15465362;-4740314;55710908;-9283766;694;493;913;442
1,54765E+12;-11260864;-15760323;44540804;-83343315;687;497;915;439
1,54765E+12;-8173377;-9265953;36547195;-8925642;672;497;915;438
1,54765E+12;-9131563;-12299335;29094638;-8423127;672;497;915;440
1,54765E+12;-5618215;-17144369;40805798;-8809446;678;495;915;446
1,54765E+12;-4537856;-13098696;3070034;-879987;678;492;917;452
1,54765E+12;-13439035;-14215706;10042624;-87799015;680;485;920;455
1,54765E+12;9819222;1282468;69027774;-907278;683;479;923;455
1,54765E+12;31101767;-10756464;51452305;-8554598;676;475;925;455
1,54765E+12;14023721;6063274;13665928;-8915232;672;471;930;453
1,54765E+12;19559905;1415462;34417894;-8852206;650;458;932;453
1,54765E+12;21263346;17523106;890,1179;-7883043;613;449;936;450
1,54765E+12;35377823;-25448647;-22863813;-838866;602;451;938;455
1,54765E+12;-6126106;-28110272;12601277;-9085698;606;450;938;456
1,54765E+12;6784095;14741051;429351;-8792591;618;443;938;459
1,54765E+12;-40194932;-22041763;6213372;-8171065;591;427;939;462
1,54765E+12;-26354471;-27630308;18971728;-9184445;586;407;939;467
1,54765E+12;97668625;-17610373;-88540554;-9266116;588;388;940;472
1,54765E+12;-4537856;-24064599;-16146041;-79688797;560;359;941;485
1,54765E+12;-2422517;-6398901;-1513375;-8383795;567;329;941;503
1,54765E+12;-15091862;-33007666;-21469295;-8532006;594;316;942;524
1,54765E+12;-16262978;-39128536;-35683256;-9439667;622;300;942;526
1,54765E+12;-23235568;-56004125;-40261254;-8375291;626;294;943;527
1,54765E+12;-30635765;-5632352;-4579744;-8982355;602;292;943;530
1,54765E+12;-34255576;-6707649;-45265114;-8852254;583;285;944;536
1,54765E+12;-27707103;-6164677;-43029347;-9178765;565;285;943;539
1,54765E+12;-36491343;-6420194;-36374408;-8952322;513;297;943;542
1,54765E+12;-47616073;-6755646;-31850514;-9509213;505;314;942;545
1,54765E+12;-439439;-53183675;-25302038;-9925853;523;345;942;546
1,54765E+12;-3223274;-5674938;-10876892;-9415812;551;390;940;545
1,54765E+12;-255778;-7075041;-6990044;-90275955;582;438;934;547
1,54765E+12;-1296256;-7181506;7806858;-9670017;629;473;925;546
1,54765E+12;-8223991;-8033227;124913216;-9644658;682;492;915;542
1,54765E+12;28131217;-7873529;28300515;-9620582;730;511;900;533
1,54765E+12;33986795;-10370048;37936476;-9513801;775;560;871;527
1,54765E+12;53044045;-84856164;25319493;-7877096;803;619;777;520
1,54765E+12;2584309;-5392893;13124876;-80258045;832;655;515;496
1,54765E+12;3281568;-4935093;-6405358;-8767481;846;677;515;496
1,54765E+12;40428805;-41950732;-1460317;-8584305;847;691;292;438
1,54765E+12;28878218;-1858252;-3424336;-8291599;835;695;267;348
1,54765E+12;8808677;46251226;-8150687;-828207;829;695;413;251
