Time,GyroX,GyroY,GyroZ,Accelerometer,HeelLeft,FrontLeft,HeelRight,FrontRight,DataType
1.54764E+12,-0.20457004,0.3496069,-0.011274827,8.831818,808,362,808,625,1
1.54764E+12,-0.24663247,0.30382693,-0.059707712,8.754398,793,374,818,625,1
1.54764E+12,-0.23544492,0.21600194,-0.069830626,8.579478,791,380,842,622,1
1.54764E+12,-0.31103513,0.16861627,-0.059184115,8.912905,792,386,872,611,1
1.54764E+12,-0.35416222,0.11805407,-0.04321435,8.838771,794,399,884,604,1
1.54764E+12,-0.29719466,0.085573494,-0.024050636,8.366155,794,416,893,598,1
1.54764E+12,-0.24130923,0.048310712,0.006806784,8.941759,789,431,900,594,1
1.54764E+12,-0.25834364,0.16648696,-0.007016223,8.517612,784,445,914,587,1
1.54764E+12,-0.22001621,-0.08634144,0.045675267,8.099537,789,457,914,589,1
1.54764E+12,-0.3722613,-0.008621926,0.010541788,7.6381836,784,472,909,580,1
1.54764E+12,-0.47924995,-0.39617229,0.023317598,8.7003565,794,482,897,553,1
1.54764E+12,-0.45743334,-0.38392007,0.07920304,8.685408,802,489,904,478,1
1.54764E+12,-0.5058662,-0.43821725,0.12445943,8.410983,807,495,908,319,1
1.54764E+12,-0.43294638,-0.48452085,0.17076302,8.391476,822,498,907,112,1
1.54764E+12,-0.24715607,-0.32801718,0.1452114,7.777785,833,503,892,37,1
1.54764E+12,-0.08906415,-0.20132373,0.1446878,7.6300526,837,496,862,25,1
1.54764E+12,0.11426671,-0.14489724,0.23570672,9.065281,842,471,864,28,1
1.54764E+12,0.11054915,0.06428047,0.23464206,8.745779,835,481,861,54,1
1.54764E+12,0.15685274,0.17287487,0.30757937,8.262668,821,487,868,133,1
1.54764E+12,-0.028902652,-0.22848105,0.38156387,7.3931894,819,491,864,188,1
1.54764E+12,-0.15240215,0.071733035,0.33258995,6.9585176,809,494,777,223,1
1.54764E+12,0.19891517,0.27773425,0.22773056,8.920632,790,499,773,246,1
1.54764E+12,0.09457939,0.31180307,0.12658873,8.542569,773,501,804,288,1
1.54764E+12,-0.1385617,0.25591764,0.18566813,9.039519,743,508,829,328,1
1.54764E+12,-0.21149899,0.33416075,0.12871803,8.571471,710,510,836,377,1
1.54764E+12,-0.26047292,0.19470893,0.029705504,8.403111,725,503,870,396,1
1.54764E+12,-0.3333928,0.20268509,-0.00275762,8.057369,748,497,886,398,1
1.54764E+12,-0.23650956,0.02008874,0.07016224,8.825132,793,484,901,382,1
1.54764E+12,-0.11459832,-0.114039816,0.10210176,9.53283,826,480,905,365,1
1.54764E+12,-0.6038141,1.0267248,-0.27317894,4.9933186,764,469,903,363,1
1.54764E+12,-0.6751457,-0.52712435,-0.013927727,6.0680947,680,469,904,358,1
1.54764E+12,-0.38610172,-0.39669588,0.27829275,11.342253,791,476,919,337,1
1.54764E+12,-0.53302354,0.0312763,-0.16990781,11.5636215,831,496,920,366,1
1.54764E+12,-0.16730726,0.003054326,-0.25295058,8.718667,861,503,920,390,1
1.54764E+12,-0.5324825,0.34906584,-0.291278,7.6951175,862,486,917,389,1
1.54764E+12,-0.7353072,-0.107651904,-0.012339477,4.7297645,849,479,919,383,1
1.54764E+12,-0.6517234,-0.54894096,0.19950859,8.009447,868,466,928,336,1
1.54764E+12,-0.4787089,-0.46270424,0.2101551,10.064783,889,472,929,310,1
1.54764E+12,-0.4025951,0.066409774,-0.0421497,10.996492,897,487,930,312,1
1.54764E+12,-0.3658559,-0.0368439,-0.1028348,7.3873096,895,492,933,343,1
1.54764E+12,-0.12737413,0.07119198,0.007871435,8.471883,896,457,937,367,1
1.54764E+12,0.02591814,0.020629792,-0.10177015,10.133401,897,412,945,353,1
1.54764E+12,0.033370696,-0.053878315,-0.14913839,9.3767185,894,389,952,342,1
1.54764E+12,0.09457939,-0.11510447,-0.16884315,8.51245,891,336,955,358,1
1.54764E+12,0.07169812,-0.06026622,-0.25347418,8.521347,893,319,957,387,1
1.54764E+12,0.07489208,-0.102852255,-0.29873055,7.1102047,886,369,956,436,1
1.54764E+12,0.25321236,-0.117757365,-0.20504127,8.198982,878,380,957,451,1
1.54764E+12,0.4235565,-0.17153096,-0.23963371,9.281295,880,367,957,431,1
1.54764E+12,0.7115533,-0.32909927,-0.2353751,9.541814,890,342,957,437,1
1.54764E+12,0.61306435,-0.40575415,-0.21568778,9.847974,890,301,957,441,1
1.54764E+12,0.7376285,-0.41959462,-0.24017476,8.540185,892,209,957,469,1
1.54764E+12,0.7557276,-0.57768655,-0.097511545,10.342684,893,128,958,487,1
1.54764E+12,0.5332155,-0.2960951,-0.17736036,9.109267,888,60,957,518,1
1.54764E+12,0.31976178,-0.32429963,-0.07621853,6.3029656,874,36,954,580,1
1.54764E+12,0.24150121,-0.48932052,0.13829988,7.2829027,836,3,950,636,1
1.54764E+12,0.19891517,-0.25935593,0.2724459,9.554263,808,0,946,666,1
1.54764E+12,0.05092871,-0.4217239,0.33632496,8.685925,799,0,941,687,1
1.54764E+12,0.2915398,-0.14330898,0.36027086,7.496236,786,28,931,695,1
1.54764E+12,0.3021863,-0.2247635,0.044610616,8.280749,804,108,911,697,1
1.54764E+12,0.37512362,-0.9008168,0.23570672,11.226038,871,107,879,691,1
1.54764E+12,0.3815115,-0.5579992,-0.008080875,9.927221,894,110,889,664,1
1.54764E+12,0.7897964,-0.5531995,0.043545965,10.088487,901,93,818,663,1
1.54764E+12,0.6583207,0.20268509,-0.12465142,9.233354,880,36,824,671,1
1.54764E+12,0.61041147,0.30967376,-0.2625324,6.856285,842,0,832,679,1
1.54764E+12,0.5736723,-0.394043,0.20217894,8.399128,746,0,847,691,1
1.54764E+12,0.25375342,0.59234726,0.07761479,10.142605,757,0,903,697,1
1.54764E+12,0.5853834,0.6721961,-0.30831242,6.8460374,739,0,912,698,1
1.54764E+12,0.8025722,0.17074557,-0.4190361,7.626404,762,0,923,703,1
1.54764E+12,0.6817431,-0.033649947,0.04886922,12.47766,742,0,936,706,1
1.54764E+12,0.33573154,0.016371189,0.004677482,12.697802,770,0,949,704,1
1.54764E+12,0.19200367,-0.11988667,-0.2785022,9.644342,805,0,950,703,1
1.54764E+12,0.12599532,-0.17578956,-0.20078267,9.157305,770,0,949,697,1
