Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54764E+12;-5462008;-57426566;-60327303;10990726;573;589;912;370
1,54764E+12;-12301081;-5178392;-5308768;10792965;579;560;923;381
1,54764E+12;15376351;-30438542;-48403215;1824056;602;528;932;389
1,54764E+12;10428342;10655235;-33550465;17428447;614;524;934;393
1,54764E+12;-3228859;-10103711;-16835445;17749175;644;509;933;388
1,54764E+12;-6977826;-95713854;1972222;24254029;656;518;930;378
1,54764E+12;-48485246;-48328165;-60039326;23227205;661;525;929;376
1,54764E+12;-7456046;-55780724;-3874631;22329571;672;527;930;378
1,54764E+12;-17517869;-13829988;21135937;2145588;702;531;930;376
1,54764E+12;-4103269;-13735741;4082325;2175391;719;537;928;375
1,54764E+12;9309586;1712168;40299654;243203;713;546;922;380
1,54764E+12;11013027;-29164452;6478662;2420672;707;556;914;384
1,54764E+12;7553785;-19058995;50405107;25881128;702;563;903;386
1,54764E+12;55833083;44802602;7862708;24228842;703;566;893;390
1,54764E+12;13788101;13927727;81279986;26310172;709;568;893;386
1,54764E+12;8777261;-30770155;80215335;2335697;710;568;897;384
1,54764E+12;12290609;-3609341;6531022;22541888;708;568;904;380
1,54764E+12;123447135;-21188296;6159267;20109284;710;565;907;381
1,54764E+12;760789;25638886;8288568;19264896;710;562;909;382
1,54764E+12;8032005;4960226;7382743;19900796;708;563;911;385
1,54764E+12;8192576;15515977;53075463;19612439;702;557;914;387
1,54764E+12;5318018;-15865043;11013027;18452016;684;552;918;388
1,54764E+12;-34627333;-39287362;-59760075;19239517;674;550;920;390
1,54764E+12;-1922131;-8936086;-16109388;16739109;656;556;920;391
1,54764E+12;-15812683;14992379;14748032;18959204;646;562;920;384
1,54764E+12;-94788834;-21711895;-4059636;23883789;635;562;920;390
1,54764E+12;-12512265;-7761479;-114057265;2521669;636;563;921;389
1,54764E+12;-36233034;-4728097;-54436818;2056495;641;562;920;392
1,54764E+12;-25586527;-41416664;-4939282;22802856;649;559;919;386
1,54764E+12;-6391396;-3874631;29653143;18951448;664;559;918;376
1,54764E+12;-101717785;27576203;8395033;19889975;667;560;916;368
1,54764E+12;27628561;-6005678;5359906;26501706;667;554;916;351
1,54764E+12;19638444;-15639895;-7360053;26512241;673;537;918;325
1,54764E+12;103759825;-18140952;-122050874;28556602;684;518;919;308
1,54764E+12;16709782;-11168362;-13960889;23076274;711;483;923;295
1,54764E+12;18786724;-15746361;-21839304;2891985;716;452;928;283
1,54764E+12;18041469;-22188371;-2689727;20943422;711;420;932;278
1,54764E+12;17135642;-18887953;-15132004;24009056;708;411;932;286
1,54764E+12;1846733;-35070646;-21200514;34835062;716;401;931;292
1,54764E+12;-13205162;-3663446;18402752;18831929;743;353;933;303
1,54764E+12;-16399114;1977458;21383774;32815597;755;360;934;312
1,54764E+12;12199852;-8953539;17941985;29002786;736;368;934;343
1,54764E+12;-15547393;11257374;-31555552;31102788;735;356;934;377
1,54764E+12;-44558257;13423327;-58171824;23957148;746;347;936;401
1,54764E+12;-8840092;25666812;19530235;21842492;746;364;940;406
1,54764E+12;12346459;22153464;-12576842;3158019;746;378;941;410
1,54764E+12;4574508;2162114;-6562438;30016778;748;390;941;411
1,54764E+12;4733333;24602161;22724187;30248919;752;397;940;412
1,54764E+12;15917404;20608848;58922317;28060522;756;402;939;410
1,54764E+12;-34627333;26357964;8766789;30133805;758;409;938;407
1,54764E+12;-25586527;18053685;70109874;28108983;761;418;936;405
1,54764E+12;-14398966;8419468;33370696;28602092;763;425;936;408
