Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54763E+12;12039281;81410885;-19703546;-66943603;709;510;0;0
1,54763E+12;-43987533;-24839526;-23923229;-794535;710;507;0;0
1,54763E+12;-9971066;13618629;5411393;-7355026;707;504;0;0
1,54763E+12;8557873;3259577;-2780833;-958647;704;499;0;0
1,54763E+12;17383828;-30429816;-8359603;-9331678;703;492;0;0
1,54763E+12;21221459;-22657864;-1486462;-101316;698;491;0;0
1,54763E+12;-1273497;67570424;82859504;-10268722;691;489;0;0
1,54763E+12;-45478043;134057;20140924;-7786452;693;488;0;0
1,54763E+12;-11132582;17014866;12209276;-74654274;702;488;0;0
1,54763E+12;-11372216;15838513;82007784;-7021466;707;491;0;0
1,54763E+12;4352502;23919737;15414748;-6899419;702;499;0;0
1,54763E+12;-150796445;9296147;11369075;-8856075;698;504;0;0
1,54763E+12;-67355746;-18983947;9595471;-8616751;700;505;0;0
1,54763E+12;-10520495;-16802284;16505055;-68799205;703;503;0;0
1,54763E+12;-18169925;-8498008;1590885;-8013039;704;497;0;0
1,54763E+12;-19979831;22003366;18299079;-34339461;704;491;0;0
1,54763E+12;-10147868;-3281219;-11519173;4959828;703;482;0;0
1,54763E+12;-42603487;-5491679;-11649375;-39685426;706;473;0;0
1,54763E+12;10916162;-7557101;-75239396;-9796671;704;472;0;0
1,54763E+12;10421011;38983673;-20714965;-6260933;697;474;0;0
1,54763E+12;2340312;-10197436;-3312338;-39079502;701;476;0;0
1,54763E+12;-56070447;-51616365;-19969708;-16773577;701;481;0;0
1,54763E+12;8052251;35789722;-8886693;-7027298;698;490;0;0
1,54763E+12;560879;13773091;-76091117;-12216749;701;491;0;0
1,54763E+12;44963172;2237512;-57033867;-75233674;704;492;0;0
1,54763E+12;-55218726;75764745;-80934405;-6576623;705;489;0;0
1,54763E+12;-119415425;-33143803;-10504962;-12363131;708;488;0;0
1,54763E+12;11904891;-28352875;4129449;-12090422;709;484;0;0
1,54763E+12;-23226842;-5933421;29414034;-926716;709;476;0;0
1,54763E+12;-18542378;-62421703;27604127;-5619536;706;472;0;0
1,54763E+12;2228611;-15493985;29148743;-8722843;706;463;0;0
1,54763E+12;19518016;-12198979;8264658;-9435826;708;458;0;0
1,54763E+12;-84974843;19661134;-7497236;-66088395;707;460;0;0
1,54763E+12;-14709809;-8073369;-19495851;-71748476;709;457;0;0
1,54763E+12;73228776;48459068;-19006112;-9176994;712;451;0;0
1,54763E+12;10277371;8162381;-6751981;-12416454;716;445;0;0
1,54763E+12;-19020598;-32559118;-6356489;-8826608;717;443;0;0
1,54763E+12;51452305;-24818582;-26825711;-9629862;718;446;0;0
1,54763E+12;-11248647;-2904577;-14590953;-9356368;717;450;0;0
1,54763E+12;-922581;-12437216;-55326936;-9476433;718;454;0;0
1,54763E+12;-20385446;-6262241;12007865;-9426087;718;456;0;0
1,54763E+12;-22907446;-29417524;-8166396;-9126467;719;457;0;0
1,54763E+12;47193702;3637266;-3853687;-956226;719;460;0;0
1,54763E+12;-101298906;-58887407;-34278266;-9349291;719;460;0;0
1,54763E+12;2984513;6911329;-10898883;6519028;718;461;0;0
1,54763E+12;-7619235;-5225516;17702875;-29944836;719;461;0;0
1,54763E+12;2861991;-15577063;36281905;-4848584;718;460;0;0
1,54763E+12;-9971066;-15683529;-8166396;-100048895;715;459;0;0
1,54763E+12;29738665;11250392;-92310466;-8279868;715;455;0;0
1,54763E+12;-7628834;-2824641;-8950572;-73491745;713;454;0;0
1,54763E+12;-17317156;-30019663;-23230332;-11545166;714;455;0;0
1,54763E+12;10538298;536235;37947123;-16018665;716;456;0;0
1,54763E+12;2276049;13794384;5886751;-137586155;712;460;0;0
1,54763E+12;4847652;55539864;24931853;-16147358;699;466;0;0
1,54763E+12;21642083;4074122;7721686;-66646814;693;472;0;0
1,54763E+12;20263273;-28832838;-56340975;-5968927;694;479;0;0
1,54763E+12;-879995;-6846926;-16720254;-78283215;682;487;0;0
1,54763E+12;31016245;3190462;-2802126;-965391;676;490;0;0
1,54763E+12;-39674824;-11904891;-29298842;-69271154;673;493;0;0
1,54763E+12;-5319415;94387405;-74068284;-8796335;673;495;0;0
1,54763E+12;-4047244;6405358;-25200808;-10076764;664;501;0;0
1,54763E+12;-2727077;-43153265;-31101767;-6932344;663;505;0;0
1,54763E+12;-41430625;-15717736;-9178686;-957808;653;506;0;0
1,54763E+12;-17208946;62299526;37559487;-7377972;636;507;0;0
1,54763E+12;-150621915;12404928;8546878;-10120674;630;508;0;0
1,54763E+12;1616524;12330402;35056683;-808973;629;509;0;0
1,54763E+12;53215086;7922748;5720142;-8615458;628;510;0;0
1,54763E+12;13221219;9599311;8903448;-8470666;624;511;0;0
1,54763E+12;-12685053;5021312;-10332349;-6967644;618;514;0;0
1,54763E+12;-22266911;-2207318;-5771804;-79578667;617;516;0;0
