Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54763E+12;-32218777;-65764;-789936;-9502386;873;217;0;0
1,54763E+12;-24242623;-7586946;-27890362;-9674317;873;215;0;0
1,54763E+12;-107808985;-9822713;-3747222;-936652;872;213;0;0
1,54763E+12;-15625933;-9716248;-704764;-9247806;872;214;0;0
1,54763E+12;-1700998;-15039502;-9761626;-9374487;871;217;0;0
1,54763E+12;23561944;-27436575;-4279547;-9659254;870;222;0;0
1,54763E+12;9552187;6517059;-65973448;-9325291;868;225;0;0
1,54763E+12;18334684;93392566;32777283;-9534918;867;227;0;0
1,54763E+12;1343729;4441863;498117;-9533539;866;224;0;0
1,54763E+12;29513517;-25307273;20001473;-9381268;864;221;0;0
1,54763E+12;-80128066;-14028956;-59288833;-886637;861;220;0;0
1,54763E+12;-7960447;-14346607;-9761626;-932396;859;220;0;0
1,54763E+12;-986111;-13603096;-5609488;-9334418;859;219;0;0
1,54763E+12;-4766494;-16210619;1308997;-9517441;858;224;0;0
1,54763E+12;-10567968;-13816026;8494517;-9288316;857;231;0;0
1,54763E+12;-20256291;-8758062;6419321;-934206;858;233;0;0
1,54763E+12;-2483429;-11473794;33318337;-9430407;859;232;0;0
1,54763E+12;-23823744;-4979424;13788101;-9387406;859;233;0;0
1,54763E+12;-54576445;-7161086;141546205;-9254413;859;235;0;0
1,54763E+12;25254915;-9663888;-10314896;-92835455;860;232;0;0
1,54763E+12;14023721;-15039502;-23387412;-9443689;861;230;0;0
1,54763E+12;11840314;-15732397;19024089;-9128248;862;233;0;0
1,54763E+12;667763;-22439697;-47054075;-9017847;864;233;0;0
1,54763E+12;77422805;-24036674;-10028662;-9052907;866;231;0;0
1,54763E+12;-598997;-263248;-1269029;-9377514;869;224;0;0
1,54763E+12;-16636479;-34948474;-2679604;-8928448;869;229;0;0
1,54763E+12;-36013123;-29253465;-2802126;-9221201;867;230;0;0
1,54763E+12;-40804052;-27389452;-205146;-93915825;865;229;0;0
1,54763E+12;-36864844;-28879964;-1939759;-9317985;866;226;0;0
1,54763E+12;-18020524;-3478965;-23282692;-9077023;867;229;0;0
1,54763E+12;-8599237;-41922808;-2631782;-91645155;867;232;0;0
1,54763E+12;-16584119;-29518753;-25359634;-93860655;867;236;0;0
1,54763E+12;-14720106;-18394025;-27914795;-9249394;866;239;0;0
1,54763E+12;-17062339;-16158257;-27488935;-9531643;865;240;0;0
1,54763E+12;-11473794;-77318083;-15351915;-9741499;863;247;0;0
1,54763E+12;-13283701;-14613642;-7579965;-9509242;860;256;0;0
1,54763E+12;13756685;7901105;12487831;-9525972;857;258;0;0
1,54763E+12;54532814;-72151914;21750294;-8696574;855;262;0;0
1,54763E+12;75932294;-33457962;12966052;-8050504;856;263;0;0
1,54763E+12;11111988;-5677382;-18120009;-79662275;854;253;0;0
1,54763E+12;13560685;-44423866;-4021064;-8360744;849;250;0;0
1,54763E+12;15093782;-22279128;-5069832;-8715;848;247;0;0
1,54763E+12;15237422;-35109043;-49846604;-8216727;844;244;0;0
1,54763E+12;16978214;21519909;-4494921;-8854256;835;237;0;0
1,54763E+12;14391112;5991017;-23869123;-9399167;826;227;0;0
1,54763E+12;13017713;21795672;-13861404;-9354701;826;222;0;0
1,54763E+12;11580434;1322436;-4066617;-9162428;834;216;0;0
1,54763E+12;11676253;10882128;33841934;-9253799;836;217;0;0
1,54763E+12;1119175;16631243;-7845255;-74962745;842;206;0;0
1,54763E+12;9962165;3429572;-15404277;-9650663;844;215;0;0
1,54763E+12;9978047;779464;-45448374;-9743252;844;227;0;0
1,54763E+12;9658652;-42865288;-59829887;-9259068;860;246;0;0
1,54763E+12;94511324;-76934114;-8325221;-9005378;867;252;0;0
1,54763E+12;86259407;-9238028;-8857546;-8018929;874;269;0;0
1,54763E+12;94246036;48677232;-5290093;-10751853;881;261;0;0
1,54763E+12;9275378;-11526154;-8909906;-8319239;881;282;0;0
1,54763E+12;10009987;-21959732;-1402023;-9114132;881;304;0;0
1,54763E+12;8711113;-19565141;-17268288;-9019811;879;319;0;0
1,54763E+12;8162905;-15519467;-205146;-9011967;881;327;0;0
1,54763E+12;77318084;-17807594;-2067517;-8575408;881;334;0;0
1,54763E+12;6805388;-24940754;-22910938;-9155102;881;337;0;0
1,54763E+12;6805388;-14720106;-26211354;-8789019;871;357;0;0
1,54763E+12;47879618;-7161086;-27967155;-9841865;877;343;0;0
1,54763E+12;4399277;-8545132;-23495622;-9461617;876;357;0;0
1,54763E+12;4399277;-8545132;-23495622;-9461617;874;369;0;0
1,54763E+12;4399277;-8545132;-23495622;-9461617;874;377;0;0
1,54763E+12;47773153;-7267551;-26263714;-8749256;874;383;0;0
1,54763E+12;4718672;-51923543;-2504024;-9467593;871;386;0;0
1,54763E+12;5442635;-107808985;-22218041;-9111077;872;379;0;0
1,54763E+12;5112593;-12644911;-25837854;-9449512;869;387;0;0
1,54763E+12;5245762;-18378317;-21685717;-9458639;868;395;0;0
1,54763E+12;6991789;-52988198;-11732103;-90453415;862;407;0;0
1,54763E+12;8274606;-18659315;-46513025;-8508285;842;423;0;0
1,54763E+12;86739373;-27230626;-5396558;-9506024;843;431;0;0
1,54763E+12;9121091;-35854298;-25220007;-9226908;840;451;0;0
1,54763E+12;844495;-40751693;-3960152;-79588532;831;470;0;0
1,54763E+12;805644;-45914376;6161012;-8808651;817;481;0;0
1,54763E+12;99567544;-4426504;109432146;-9462192;842;488;0;0
1,54763E+12;13677796;-4170988;-10454522;-7603305;887;511;0;0
1,54763E+12;12586616;-2962522;-11571533;-8879271;905;539;0;0
1,54763E+12;13081592;-8119272;-14552556;-8878408;909;540;0;0
1,54763E+12;12575796;13917255;-109868474;-9244406;912;533;0;0
1,54763E+12;12070173;21369812;32777283;-101427;915;519;0;0
1,54763E+12;12054117;7209955;27871162;-9365083;922;508;0;0
1,54763E+12;10419965;48411942;10997319;-8201222;931;481;0;0
1,54763E+12;55491;34677947;14563027;-78475995;933;460;0;0
1,54763E+12;48411942;3851069;11582005;-68991985;932;453;0;0
1,54763E+12;7449589;29087657;1312662;-7931799;931;446;0;0
1,54763E+12;9456368;92327915;8281587;-7421029;927;457;0;0
1,54763E+12;92327917;101368725;-22567106;-77455487;919;465;0;0
1,54763E+12;69012064;56653388;-9176941;-87623;884;470;0;0
1,54763E+12;5698151;-22598523;-22111577;-7981742;873;470;0;0
1,54763E+12;3286804;-27436575;-15351915;-104664545;865;457;0;0
1,54763E+12;39681807;-7386233;-27063075;-9887631;868;444;0;0
1,54763E+12;39948842;-11473794;-23631757;-7159238;862;453;0;0
1,54763E+12;63795274;-6358758;-8726646;-9373864;770;437;0;0
1,54763E+12;7305948;-36812484;-100810215;-11355516;783;462;0;0
1,54763E+12;12011704;-107808985;10677924;-9540664;797;481;0;0
1,54763E+12;10052572;-2393021;4129449;-8543747;802;476;0;0
1,54763E+12;9775764;-29359928;21909118;-10350564;795;485;0;0
1,54763E+12;99728113;-3367089;17224655;-11492685;845;459;0;0
1,54763E+12;7614697;-36173695;19088666;-11541747;860;423;0;0
1,54763E+12;7827627;-19352211;2819056;-7916907;830;372;0;0
1,54763E+12;70237285;-7747517;3218387;-9505527;835;347;0;0
1,54763E+12;7093018;-23024383;25583035;-10760998;871;335;0;0
1,54763E+12;50487137;-7586946;24518386;-9969877;873;312;0;0
1,54763E+12;51445323;-25314257;22176154;-9054947;877;324;0;0
1,54763E+12;4612207;-22279128;11103784;-1062744;882;340;0;0
1,54763E+12;22060962;-22066198;41835543;-11022771;879;332;0;0
1,54763E+12;20837486;-10248573;2586578;-10135948;854;342;0;0
1,54763E+12;81140354;-8758062;-7120943;-10154729;861;346;0;0
1,54763E+12;3494498;21519909;21066124;-880936;767;340;0;0
1,54763E+12;14023721;53459436;-62482785;-8638596;806;362;0;0
1,54763E+12;11787954;-21907373;-21259856;-10860194;812;375;0;0
1,54763E+12;71575955;4548328;-789936;-11727384;816;374;0;0
1,54763E+12;-13229595;-77318083;-12636183;-9407278;811;363;0;0
1,54763E+12;-48712138;-11419689;-121038586;-9255639;788;371;0;0
1,54763E+12;4283038;-7960447;-8909906;-9884807;788;377;0;0
1,54763E+12;11203268;15301302;-65973448;-97199135;789;375;0;0
1,54763E+12;-8332202;26319565;22671826;-991121;799;379;0;0
1,54763E+12;-38606685;63582346;20542525;-9178738;808;387;0;0
1,54763E+12;-25153685;4548328;8974483;-9024647;816;398;0;0
1,54763E+12;-32873276;28972465;17437585;-9385366;840;407;0;0
1,54763E+12;-16849409;-14880677;20792107;-9350066;858;409;0;0
1,54763E+12;13020156;-2371728;1574287;-8898185;869;400;0;0
1,54763E+12;-17221163;-11154399;-99745564;-990917;876;393;0;0
1,54763E+12;-5661499;27907815;-8726646;-10784979;885;373;0;0
1,54763E+12;-8397652;15885986;1813048;-11004766;893;361;0;0
1,54763E+12;-70027846;10669198;20685643;-8691344;893;340;0;0
1,54763E+12;-46979028;81140354;17437585;-7885648;888;348;0;0
1,54763E+12;-34735543;-18849556;45029495;-8393516;889;355;0;0
1,54763E+12;-14561282;-7054621;-4118977;-8986072;889;353;0;0
1,54763E+12;-23076743;-18849556;-17746508;-8979616;885;341;0;0
1,54763E+12;-23663174;-2792,5268;-23602088;-9484448;884;345;0;0
1,54763E+12;-27441812;21519909;-15723671;-949118;885;352;0;0
1,54763E+12;-36438984;7422885;-101874866;-9611236;884;344;0;0
1,54763E+12;-37503636;15673056;-49706977;-9358427;876;335;0;0
1,54763E+12;-50865877;23445007;-4279547;-9615114;866;322;0;0
1,54763E+12;-6912376;198793;-22026055;-9078191;856;329;0;0
1,54763E+12;-6363994;19027579;-24155356;-897455;840;338;0;0
1,54763E+12;-62575287;15833627;2693043;-9236629;823;345;0;0
1,54763E+12;-5405808;11894419;59934605;-9176065;814;353;0;0
1,54763E+12;-40006438;15885986;6791076;-9109784;808;352;0;0
1,54763E+12;-33457962;11575024;60999256;-9465937;809;356;0;0
1,54763E+12;-25153685;15833627;20001473;-9128756;813;361;0;0
1,54763E+12;-22118558;15460126;35081117;-9165129;815;368;0;0
1,54763E+12;-26591837;15460126;56199603;-957061;819;373;0;0
1,54763E+12;-28134707;16259487;107302845;-9682161;820;371;0;0
1,54763E+12;-3111573;17695893;12859586;-9494552;821;369;0;0
1,54763E+12;-34629077;13330825;9293878;-9226449;810;372;0;0
1,54763E+12;-23397884;12107349;16427039;-9701478;722;375;0;0
1,54763E+12;-3180688;6304129;15308283;-8680859;598;383;0;0
