Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54763E+12;-17645279;3629063;-62465332;-812978;874;193;0;0
1,54763E+12;40074503;65674996;15683529;-10187157;873;195;0;0
1,54763E+12;18535396;4722861;-4330162;-86695385;872;194;0;0
1,54763E+12;47155306;24260077;7272787;-10497014;872;193;0;0
1,54763E+12;5865179;17552777;1084024;-8230184;872;193;0;0
1,54763E+12;-9482374;18669787;52499503;-85678425;871;192;0;0
1,54763E+12;-32426473;-54454273;12583824;-8883062;870;192;0;0
1,54763E+12;-7353072;-12096877;-832173;-8284657;871;189;0;0
1,54763E+12;38796923;-7464773;-16893041;-9201406;872;192;0;0
1,54763E+12;14735815;-50476664;-22216296;-69415855;871;193;0;0
1,54763E+12;-8684758;-41161844;-12580334;-10159182;871;192;0;0
1,54763E+12;-5334599;-36210346;-3424336;-8514825;871;184;0;0
1,54763E+12;-25504497;-1086066;-2503675;-9296427;871;185;0;0
1,54763E+12;-14859733;-22514747;32559118;-8880324;871;185;0;0
1,54763E+12;-15711454;13400638;32824406;-8949602;872;186;0;0
1,54763E+12;38957494;20853193;-53407077;-8891644;872;189;0;0
1,54763E+12;7781725;43050292;-14496705;-9420724;872;191;0;0
1,54763E+12;17869204;49012336;31281537;-7357861;872;194;0;0
1,54763E+12;10709515;-6107082;7592182;-8612576;872;196;0;0
1,54763E+12;-11946081;-51221925;-6140068;-74377217;872;193;0;0
1,54763E+12;-6075491;13772394;24609142;-10355708;873;190;0;0
1,54763E+12;-11664035;-13055062;-2094395;-8607634;873;188;0;0
1,54763E+12;47298424;-38990654;-29461158;-8954823;873;186;0;0
1,54763E+12;18011797;-59760075;-54471727;-8708115;871;186;0;0
1,54763E+12;12688544;-7145378;-7630579;-888131;871;185;0;0
1,54763E+12;28134707;-119904116;-8002335;-8730561;871;183;0;0
1,54763E+12;13938199;-12362167;-8002335;-8991941;872;178;0;0
1,54763E+12;11489502;-12362167;-10876892;-8994441;870;177;0;0
1,54763E+12;25464354;-7625344;-88540554;-8916592;868;178;0;0
1,54763E+12;842994;-9063495;-103445664;-9050474;868;172;0;0
1,54763E+12;-39985493;-25150195;-50754175;-9087662;870;171;0;0
1,54763E+12;11623893;-17261307;-85887656;-9076389;871;166;0;0
1,54763E+12;1537635;-45378562;-9014626;-9217571;871;165;0;0
1,54763E+12;16947147;837758;-11089822;-8688605;869;166;0;0
1,54763E+12;-4956735;4935791;-11515682;-8954841;867;168;0;0
1,54763E+12;-48661524;14624114;-9653416;-914769;867;169;0;0
1,54763E+12;-30881855;-66147976;-12421508;-8318721;868;168;0;0
1,54763E+12;46516514;-40523055;-9227556;-9060703;868;171;0;0
1,54763E+12;-8576548;-38980183;-151896;-9035937;868;173;0;0
1,54763E+12;-103340946;-32485813;-15721926;-8774281;868;170;0;0
1,54763E+12;-23801056;-3434808;-18542378;-8996538;868;169;0;0
1,54763E+12;-6021386;-20933479;-19022344;-9101223;866;168;0;0
1,54763E+12;-19703022;-23382176;-20086995;-9443785;861;172;0;0
1,54763E+12;-2624975;-14226179;-17851228;-8538001;853;175;0;0
1,54763E+12;-27155578;-20987584;-21629865;-92845125;836;166;0;0
1,54763E+12;80302596;-12948598;-3317871;-8750922;799;152;0;0
1,54763E+12;25544637;-32272884;-53407077;-8356903;773;147;0;0
1,54763E+12;-85695665;-31208232;22870794;-9926552;719;174;0;0
1,54763E+12;-90024084;-6836455;23935445;-9973439;754;175;0;0
1,54763E+12;6593854;-25405014;7539822;-7713256;776;164;0;0
1,54763E+12;8402015;-15397294;54628804;-8552759;803;150;0;0
1,54763E+12;-1091878;-1007404;11424925;-8044623;821;153;0;0
1,54763E+12;-527613;-1529083;3546509;-7232012;827;167;0;0
1,54763E+12;-57019908;97267196;-43825217;-8054305;835;186;0;0
1,54763E+12;38257618;25270623;-24504423;-76834335;828;211;0;0
1,54763E+12;14044665;6585127;-6054373;-7840455;843;235;0;0
1,54763E+12;5422738;4070806;-95729566;-9866075;880;236;0;0
1,54763E+12;48904125;31710887;-92217964;-13453279;907;200;0;0
1,54763E+12;-15826646;67909014;-416453;-61985407;883;40;0;0
1,54763E+12;-17407565;41666245;7538077;-76228414;559;0;0;0
1,54763E+12;-16768774;43369687;9295624;-12659073;231;0;0;0
1,54763E+12;-16225803;37407643;53478634;-8041664;227;0;0;0
1,54763E+12;-14580829;624793;54543287;-8078027;368;0;0;0
1,54763E+12;-16518669;64927995;50391144;-8156269;422;0;0;0
1,54763E+12;-12637929;53429765;18345156;-5749369;103;0;0;0
1,54763E+12;-6462954;-6827728;-16360717;-66665015;19;35;0;0
1,54763E+12;-19680681;-4166101;-24932028;-9032116;3;143;0;0
1,54763E+12;-24412968;-10520147;-34353316;-8423243;0;195;0;0
1,54763E+12;-24482083;-12842132;-2541025;-10848588;32;173;0;0
1,54763E+12;-16651663;-58941513;-10505137;-14937176;457;147;0;0
1,54763E+12;-13718637;7703883;104370685;-12712856;644;161;0;0
1,54763E+12;-54463;-40470695;7005752;-10590348;523;197;0;0
1,54763E+12;4712389;21118484;9773844;-8896672;301;227;0;0
1,54763E+12;16547467;15901695;15151203;-9485329;207;228;0;0
1,54763E+12;-5934,1197;21916099;10625564;-9610144;277;214;0;0
1,54763E+12;-4216541;-37329102;-47560222;-10441525;456;190;0;0
1,54763E+12;-48926815;9246755;-1829105;-8598134;518;158;0;0
1,54763E+12;-5430243;15812684;-10665707;-7972759;578;176;0;0
1,54763E+12;-45198792;13185963;-9601056;-9331266;537;179;0;0
1,54763E+12;-55686474;-17633061;-24293238;-95115795;480;189;0;0
1,54763E+12;-46689302;-26630235;-37760198;-8254872;439;195;0;0
1,54763E+12;-5009793;-38819614;-54635787;-7943645;461;204;0;0
