Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54763E+12;1968906;-5463055;-8247553;-37078524;863;394;0;0
1,54763E+12;16591972;-10637258;-12399691;-49885106;857;390;0;0
1,54763E+12;43644576;-15263078;-1697769;-3216792;853;383;0;0
1,54763E+12;-14165092;-59473836;-4116708;-5167846;848;374;0;0
1,54763E+12;17453292;7935488;45652577;-6184893;843;356;0;0
1,54763E+12;6035872;2990098;-14257594;7368108;834;328;0;0
1,54763E+12;-36629224;9292831;-87639964;-16452668;828;309;0;0
1,54763E+12;-38652062;34958944;-14662162;-17332009;821;280;0;0
1,54763E+12;-14543654;21757275;-19868305;-37758093;807;225;0;0
1,54763E+12;-18940662;-43558183;-16115323;-49976854;782;193;0;0
1,54763E+12;-14000682;-97429514;-16381485;-5417714;753;180;0;0
1,54763E+12;-13892821;15954055;-8801172;-4306106;738;167;0;0
1,54763E+12;1272188;-18910642;-5250648;-4469218;720;167;0;0
1,54763E+12;-42114794;-44622833;-68795645;-5001554;700;166;0;0
1,54763E+12;15867835;13743072;-16530536;-4934488;679;165;0;0
1,54763E+12;24097586;28477838;-26506314;-487787;675;173;0;0
1,54763E+12;15569733;2463445;-29907787;-67046266;667;179;0;0
1,54763E+12;12279962;2622619;-32489653;-63726273;661;186;0;0
1,54763E+12;12950692;43377714;-3722735;-67982206;668;192;0;0
1,54763E+12;8122588;31959248;-2265228;-12347933;687;197;0;0
1,54763E+12;-1215901;-19816469;-6155427;-10147422;699;199;0;0
1,54763E+12;-6766467;-13682159;6726673;-9522651;705;203;0;0
1,54763E+12;-46373397;-17420131;14865842;-9864781;710;212;0;0
1,54763E+12;5114862;19095647;2099823;-8916754;715;216;0;0
1,54763E+12;63285637;18869452;31916313;-77612166;713;220;0;0
1,54763E+12;-12250466;14850309;34152079;-7846498;704;227;0;0
1,54763E+12;-11296643;11725645;22243872;-8008432;708;229;0;0
1,54763E+12;-17759074;18402752;12662015;-79159875;711;232;0;0
1,54763E+12;-7793942;-15273725;12401263;-8018287;711;238;0;0
1,54763E+12;-41741294;-25565583;50338787;-6909082;677;240;0;0
1,54763E+12;-8954412;-18750072;65456825;-9414087;622;239;0;0
1,54763E+12;2666165;11927929;11576071;-10820212;615;238;0;0
1,54763E+12;-59308034;10123433;-57615066;-78291354;608;238;0;0
1,54763E+12;-12068603;64929736;-16519542;-68448787;608;237;0;0
1,54763E+12;-19212235;-25033256;20900318;-7600106;618;238;0;0
1,54763E+12;23467697;101525806;6518979;-10179562;641;238;0;0
1,54763E+12;-5190784;5034228;-8801696;-5398494;657;238;0;0
1,54763E+12;-85924304;12973033;-30094713;-64995394;669;234;0;0
1,54763E+12;-11780973;63704515;28087583;-977724;677;228;0;0
1,54763E+12;92083573;10845476;5836381;-25389838;681;229;0;0
1,54763E+12;95277524;-83428484;-69752085;-6560869;681;228;0;0
1,54763E+12;98632044;-13693853;-35257396;-8042985;685;226;0;0
1,54763E+12;969286;13665928;-2775248;-69347672;698;224;0;0
1,54763E+12;-5568822;-7762701;-2652726;-79736395;712;220;0;0
1,54763E+12;-49726176;-71769685;-8838347;-73243227;726;219;0;0
1,54763E+12;77108644;24870941;-32702234;-1029205;735;217;0;0
1,54763E+12;50455725;13961412;-3195698;-6924903;746;218;0;0
1,54763E+12;-31627113;4890587;-1625425;-79338293;753;217;0;0
1,54763E+12;-34128168;26441738;-40954152;-66308374;757;216;0;0
1,54763E+12;-21299998;1436598;12042772;-9299031;761;215;0;0
1,54763E+12;11481299;2940426;30429816;-72927003;762;210;0;0
1,54763E+12;-82047924;16724094;1044754;-8505056;759;202;0;0
1,54763E+12;-66547656;-320617;490071;-63845696;746;198;0;0
1,54763E+12;57403877;15421729;44909066;-9094241;730;203;0;0
1,54763E+12;-9695304;-986111;-18490018;-830041;720;206;0;0
1,54763E+12;9998991;4351106;3745651;-8630905;716;207;0;0
1,54763E+12;-12409291;-5633225;12042772;-5241865;716;208;0;0
1,54763E+12;59559363;-14971434;-10749483;-480704;712;203;0;0
1,54763E+12;-10482098;-42599997;-3023783;-13086706;718;201;0;0
1,54763E+12;79094833;-1111094;-66186374;-22975191;720;200;0;0
1,54763E+12;7550294;-17793632;14140658;-718362;722;208;0;0
1,54763E+12;16406095;-10245083;21912609;-9752608;722;210;0;0
1,54763E+12;3427303;-15401484;63687064;-7531373;726;213;0;0
1,54763E+12;25755823;-14400711;34421384;-9594092;734;215;0;0
1,54763E+12;-230558;-9061575;-18222983;-7668092;743;220;0;0
1,54763E+12;-5531472;71635294;39105847;-10256655;750;223;0;0
1,54763E+12;-32105333;1712517;493806;-8090257;753;228;0;0
1,54763E+12;-35192817;29316294;107617;-8324094;751;229;0;0
1,54763E+12;-19064231;5625196;27488936;-5804244;747;236;0;0
1,54763E+12;-12340001;20264146;-17547191;-6458359;742;231;0;0
1,54763E+12;20008455;-11132233;-43296382;-16354963;733;234;0;0
1,54763E+12;-44668213;-29876545;78126174;-9969245;722;232;0;0
1,54763E+12;5581563;304635;18118438;-8464365;718;233;0;0
1,54763E+12;-24813347;-46378633;7903025;-6435748;718;235;0;0
1,54763E+12;10991734;-10940596;-22642156;-47528157;720;234;0;0
1,54763E+12;6413736;-602732;-3233048;-1178924;725;235;0;0
1,54763E+12;1409877;-51766466;-18383554;-699376;729;233;0;0
1,54763E+12;-33543482;-29876545;-14438411;-4580855;732;237;0;0
1,54763E+12;-20484407;38046432;-13698566;-1761489;736;239;0;0
1,54763E+12;-7457792;-9923942;-6341828;-7201462;736;237;0;0
1,54763E+12;30442032;81058323;8656833;-92900095;734;234;0;0
1,54763E+12;-25877997;4288972;15896459;-109745035;734;233;0;0
1,54763E+12;41460297;-7625344;57046086;-946676;733;228;0;0
1,54763E+12;17390286;14624114;7344171;-7674106;727;226;0;0
1,54763E+12;11603996;15388044;5486268;-10417842;721;227;0;0
1,54763E+12;-22202334;-28972465;-13433799;-60925827;717;229;0;0
1,54763E+12;-47436303;-6069906;-14391986;-8475186;718;231;0;0
