Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54763E+12;27623326;24853488;4717625;-9076735;763;297;0;0
1,54763E+12;9843657;16964601;70598565;-7921887;763;297;0;0
1,54763E+12;-7189011;526304;1871691;-8897572;761;298;0;0
1,54763E+12;-1783552;4970174;12116075;-69449854;762;298;0;0
1,54763E+12;-14163347;-13482669;-4223697;-80812645;763;299;0;0
1,54763E+12;-28269097;-51651275;-7365289;-69132195;764;297;0;0
1,54763E+12;83531454;-16061741;-264749;-73679357;764;298;0;0
1,54763E+12;-32688272;13636432;19196877;-67725835;763;299;0;0
1,54763E+12;-58590703;30176742;-26808258;-78723745;764;301;0;0
1,54763E+12;-16528267;48799407;-816814;-7570303;765;302;0;0
1,54763E+12;1308997;-6668903;-39043017;-803631;764;304;0;0
1,54763E+12;-74700094;-50195668;-3213151;-7935419;764;305;0;0
1,54763E+12;-53791046;-17715093;461116;-8577659;764;306;0;0
1,54763E+12;22832397;1116138;64734265;-8243465;766;308;0;0
1,54763E+12;5000368;1094845;7379252;-7867701;767;308;0;0
1,54763E+12;-4314454;26439992;14458308;-78322573;767;310;0;0
1,54763E+12;-9637708;55611426;40009928;-7498506;768;309;0;0
1,54763E+12;4173082;37086502;6686357;-7865058;768;309;0;0
1,54763E+12;26132816;-47525316;-27872909;-71572266;767;310;0;0
1,54763E+12;-14480996;-37863174;-27913052;-7715861;766;311;0;0
1,54763E+12;3433237;-29558897;-2099282;-8100121;768;310;0;0
1,54763E+12;-68937016;9032079;19942132;-902727;769;310;0;0
1,54763E+12;-68937016;9032079;19942132;-902727;767;310;0;0
1,54763E+12;-26405087;-33161256;-15083136;-75832796;768;310;0;0
1,54763E+12;-26405087;-33161256;-15083136;-75832796;769;309;0;0
1,54763E+12;3571467;-92240654;-9759881;-7785925;770;306;0;0
1,54763E+12;-6867871;-53832936;-12634438;-7553831;772;301;0;0
1,54763E+12;-17620844;-14227924;-1881465;-8588499;776;291;0;0
1,54763E+12;-17781414;12812462;3811799;-7759531;780;285;0;0
1,54763E+12;12346459;18720402;39723694;-78253813;786;274;0;0
1,54763E+12;-51120695;2872812;8656833;-8247968;793;259;0;0
1,54763E+12;-20123646;2558827;1131846;-7760393;801;241;0;0
1,54763E+12;5000368;123866014;90826936;-77839804;811;236;0;0
1,54763E+12;-18207274;-43807764;69533914;-76448393;819;233;0;0
1,54763E+12;36163222;-18168877;-4436627;-742056;827;234;0;0
1,54763E+12;-37795106;-4061381;-3000221;-7837055;833;228;0;0
1,54763E+12;-2736327;-4415683;61784657;-8167513;839;223;0;0
1,54763E+12;-26031587;19547688;3546509;-7942285;845;220;0;0
1,54763E+12;-21080087;61034165;104370685;-7568301;849;215;0;0
1,54763E+12;2943498;-25886723;-4171337;-7288266;851;208;0;0
1,54763E+12;3351032;-28016025;-1492431;-8245516;854;207;0;0
1,54763E+12;-39180896;54646257;-10297443;-8326736;857;212;0;0
1,54763E+12;-35294047;-17210692;-37978366;-72399125;860;229;0;0
1,54763E+12;-7400196;23937191;12808971;-9135325;863;234;0;0
1,54763E+12;-7452556;-34766957;-17053612;-6925439;867;192;0;0
1,54763E+12;2070484;-251851;-800408;-8244644;872;92;0;0
1,54763E+12;9473647;-8480555;-13966125;-7669471;875;39;0;0
1,54763E+12;13678145;-698,1317;-29084167;-786547;875;22;0;0
1,54763E+12;-24167573;-32637656;-36482617;-8552845;874;11;0;0
1,54763E+12;-41521382;-53930674;-24026202;-8655173;872;10;0;0
1,54763E+12;-41414917;11107276;-53948127;-8089634;871;12;0;0
1,54763E+12;-22464132;8232718;-28396508;-8080603;869;16;0;0
1,54763E+12;127583565;107878804;-59812434;-8086924;866;24;0;0
1,54763E+12;4971745;19512782;-58747783;-8644505;861;42;0;0
1,54763E+12;9001361;-13536774;-7045894;-8453027;855;65;0;0
1,54763E+12;12605292;5747369;-10665707;-8412602;847;86;0;0
1,54763E+12;-5067738;-26631978;-52345914;-7799447;840;95;0;0
1,54763E+12;-73247975;45336673;-3382099;-12338816;831;107;0;0
1,54763E+12;-73247975;45336673;-3382099;-12338816;826;118;0;0
1,54763E+12;-28000316;15254177;12861331;-78821526;820;130;0;0
1,54763E+12;-37208673;10416125;14695672;-8372533;813;140;0;0
1,54763E+12;-5323254;-7574729;-5129523;-72832384;801;153;0;0
1,54763E+12;2713987;-16358972;-24984388;-83618355;799;162;0;0
1,54763E+12;29063222;-32115802;8230973;-9236936;795;170;0;0
1,54763E+12;29063222;-32115802;8230973;-9236936;780;182;0;0
1,54763E+12;20546016;-29347712;-10838495;-8978927;749;195;0;0
1,54763E+12;35611698;-4004658;8552,1134;-8358072;697;215;0;0
1,54763E+12;5120796;22553144;7325147;-8966879;650;234;0;0
1,54763E+12;419455;-6070255;38467056;-8824635;653;249;0;0
1,54763E+12;419455;-6070255;38467056;-8824635;662;264;0;0
1,54763E+12;-44174284;110008106;33622023;-8471528;691;271;0;0
1,54763E+12;17884389;-13697344;13873622;-8264909;697;276;0;0
1,54763E+12;5375614;-15135495;15896459;-8515448;695;279;0;0
1,54763E+12;-649437;14940019;11637855;-8211615;694;283;0;0
1,54763E+12;6084392;-7486241;1823869;-9080565;688;284;0;0
1,54763E+12;2496519;-11318984;20348794;-10566972;687;281;0;0
1,54763E+12;16287413;-92322683;18011798;-26691325;685;277;0;0
1,54763E+12;-3901858;-3605501;46184903;-24949498;681;273;0;0
1,54763E+12;19146262;3387684;-15030776;-6679765;684;271;0;0
1,54763E+12;-7415206;-4121944;-9077981;-47150836;686;269;0;0
1,54763E+12;21397737;19463912;-15710756;-8825143;683;272;0;0
1,54763E+12;42798963;994733;-11713079;-11245258;688;277;0;0
1,54763E+12;-26668632;17607405;-29297096;-9634737;701;282;0;0
1,54763E+12;-24165829;4187045;6527531;-81199255;704;288;0;0
1,54763E+12;-4469788;-14014994;13554227;-8095657;697;294;0;0
1,54763E+12;26935667;-20298178;19888027;-8075087;693;298;0;0
1,54763E+12;5195496;-7257079;44505894;-7141473;697;302;0;0
1,54763E+12;-5375614;18879226;-1455081;-78594747;698;303;0;0
1,54763E+12;1948311;-2950828;-24719098;-77643867;698;304;0;0
