Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54765E+12;6592108;33093187;55257123;-8581097;584;498;945;496
1,54765E+12;23413591;18933332;3396411;-8870671;582;493;945;496
1,54765E+12;37892842;16749924;-29373892;-870412;572;492;945;497
1,54765E+12;36402333;11267845;-42690754;-8883436;579;488;945;496
1,54765E+12;24371777;17383479;-45343652;-913613;584;488;946;494
1,54765E+12;19154988;-57648227;-7143632;-9006498;586;486;946;494
1,54765E+12;25464354;-43807764;-67701325;-8977375;578;489;946;494
1,54765E+12;-8098327;-11461577;-57595864;-90775585;579;490;946;494
1,54765E+12;-21406463;-26312584;-18727383;-9321547;587;491;945;494
1,54765E+12;-15816173;-1492082;-32044247;-9363302;592;493;945;494
1,54765E+12;-13740978;-14440854;-32567844;-8968823;598;494;945;494
1,54765E+12;-8098327;-7628834;-5066691;-9136064;597;497;944;494
1,54765E+12;12688544;-16667895;413643;-92322235;600;497;944;494
1,54765E+12;-6447246;-32096606;-75572757;-91049;595;501;944;494
1,54765E+12;-13154547;-4415683;32882;-8986761;597;502;943;494
1,54765E+12;-8789478;-7522369;-24050636;-9152171;597;504;943;494
1,54765E+12;-23748694;-27838001;36128315;-8926752;603;504;941;494
1,54765E+12;-1160993;-13473942;-35761796;-9131274;603;506;941;494
1,54765E+12;-8363618;-10662217;-7782423;-8795311;607;507;939;495
1,54765E+12;-12515756;-17955947;-8953539;-9049307;608;508;939;496
1,54765E+12;-21345377;11800171;-8047713;-9031236;611;508;938;495
1,54765E+12;-4360356;21327923;-23527037;-8450019;618;509;938;495
1,54765E+12;-4237834;-29967302;-13945181;-9913403;634;508;938;494
1,54765E+12;-3466224;-14175564;286234;-96528845;641;508;938;493
1,54765E+12;48363075;-27314402;11065387;-8905837;642;508;938;490
1,54765E+12;-19216076;7278023;43528512;-907841;642;508;939;491
1,54765E+12;-14803882;-11568042;413643;-8864704;641;508;939;490
1,54765E+12;6913249;30159289;-59184115;-9490778;642;508;938;489
1,54765E+12;1511106;-22514747;52010813;-9222263;640;508;939;489
1,54765E+12;34540065;-8480555;-7037167;-8791499;641;508;940;490
1,54765E+12;98401666;74874625;-33108898;-9473512;637;508;940;490
1,54765E+12;27070057;6529277;-82606435;-880551;640;508;940;492
1,54765E+12;-46896998;-17423622;-10337585;-8788185;638;508;940;492
1,54765E+12;-25183356;-18594737;-10602875;-9852054;640;508;939;492
1,54765E+12;-56377625;-25621432;4139921;-9351321;635;508;940;491
1,54765E+12;-111840695;-7735299;12653637;-8657137;635;508;940;492
1,54765E+12;25918138;8866273;-27576203;-9400172;632;508;940;493
1,54765E+12;43856633;-9119345;-2565634;-91366;636;507;939;493
1,54765E+12;67544244;-2828306;35011306;-8555604;636;507;940;493
1,54765E+12;-48340383;-6256482;-60248766;-8928064;638;507;940;493
1,54765E+12;-49031535;-19605283;-19067723;-9579948;638;507;940;493
1,54765E+12;22031291;-874759;-16990781;-9483759;638;504;940;494
1,54765E+12;36829937;17336355;-10751228;-9699782;633;505;940;495
1,54765E+12;34967673;21486749;55780724;-9310285;636;503;941;496
1,54765E+12;2011492;-5551892;7440338;-8522458;629;503;941;497
1,54765E+12;-7670722;-23811527;-12339477;-8891002;624;500;941;498
1,54765E+12;-65001297;-21469295;-7995354;-8311787;617;501;941;499
1,54765E+12;-17039649;12330751;-23378685;-1021466;635;500;941;500
1,54765E+12;36651914;6710791;-18854792;-9018239;631;500;942;500
1,54765E+12;28206265;13395402;-44820055;-943417;625;496;942;500
1,54765E+12;54557246;-35416222;16756906;-9730266;625;494;942;500
1,54765E+12;2639636;-65652305;37463492;-880688;630;491;942;501
1,54765E+12;-85695665;-9492846;-12466887;-8830439;634;489;943;500
1,54765E+12;-3934321;-53930674;-74630275;-9319775;624;485;943;501
1,54765E+12;-14430383;2409113;-20078267;-7419325;617;481;943;501
1,54765E+12;9522516;-19338248;-6398377;-9443268;622;479;944;502
1,54765E+12;3534117;12224286;-7888888;-970913;622;475;944;503
1,54765E+12;-1123643;-23811527;18517943;-8492789;612;471;944;504
1,54765E+12;3911981;25359634;-16032594;-9806392;613;464;945;506
1,54765E+12;1942377;26965337;-7941248;-9530933;615;461;945;507
1,54765E+12;52215016;17441075;-19174187;-9204576;619;456;945;507
1,54765E+12;-62849306;-33684855;-48537605;-9602214;620;457;945;508
1,54765E+12;6276204;-96516706;-57595864;-9047171;616;455;945;509
1,54765E+12;-22734658;-11622147;6855653;-943576;617;453;945;509
1,54765E+12;29216811;-13910274;10000736;-101495;611;454;945;512
1,54765E+12;-3303908;6422812;-83671086;-8888272;609;449;945;514
1,54765E+12;-14695673;-38501963;-60789816;-9506072;609;448;944;515
1,54765E+12;-28780479;-58189277;-373675;-9560823;610;444;944;517
1,54765E+12;-37699111;6901032;-7037167;-9027462;604;440;945;518
1,54765E+12;-8361872;-12899728;-37891097;-9584909;605;439;945;518
1,54765E+12;38798667;-54471727;-421497;-9429621;588;443;945;517
1,54765E+12;-64228117;-42219516;-59725165;-9420916;591;444;945;515
1,54765E+12;-12287118;-14538593;-59184115;-9542838;600;446;944;515
1,54765E+12;-61261058;-15774286;-3417355;-94706955;602;447;944;515
1,54765E+12;-9798279;-91734506;20071287;-9605422;605;448;944;516
1,54765E+12;-1441642;-27111945;-41626103;-898812;602;450;943;515
1,54765E+12;-2970725;-56550413;44593163;-9762482;609;451;942;516
1,54765E+12;-7349581;-80546945;-8686504;-89234;616;454;941;515
1,54765E+12;813847;14140658;-67701325;-9695693;621;454;940;516
1,54765E+12;3614577;-10503391;-6930702;-9698777;620;453;939;517
1,54765E+12;12185889;61959187;-959233;-8853642;621;453;938;518
1,54765E+12;58119465;124913216;-67701325;-9337262;617;455;938;518
