Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;mistake
1547634658862;-0.10400417;-0.08496263;-0.026825711;-9.108625;460;378;1
1547634658914;0.3628365;-0.03546509;-0.07527605;-8.845598;466;376;1
1547634658961;-0.18704693;-0.09934414;0.019460421;-8.38415;462;374;1
1547634659008;-0.1577603;-0.094544485;-0.009267698;-8.617852;468;368;1
1547634659057;-0.16947147;-0.08283333;0.0588525;-8.775535;475;372;1
1547634659156;-0.0113795465;-0.0077841682;-0.010332349;-9.05196;480;374;1
1547634659205;0.063669614;0.02094395;0.02904228;-8.479669;488;376;1
1547634659253;-0.14870206;-0.14884168;-0.027366763;-8.37961;494;379;1
1547634659302;-0.030543262;-0.059952058;0.02851868;-8.775669;505;383;1
1547634659351;-0.39997712;-0.13660692;0.19779816;-9.309451;515;388;1
1547634659399;-0.23228587;-0.11264355;0.06578146;-9.164085;530;391;1
1547634659447;-0.15243706;-0.15203562;-0.022567106;-8.941328;543;392;1
1547634659504;-0.04597197;-0.058346357;-0.022567106;-8.664961;546;393;1
1547634659530;-0.09494591;-0.07218682;-0.030019663;-8.442827;541;393;1
1547634659577;0.39744636;0.03371976;-0.0704764;-8.608056;538;392;1
1547634659627;0.38732347;0.2770012;-0.19504054;-8.268903;530;390;1
1547634659678;1.3173047;3.338396;-0.47823766;-7.2648983;520;389;1
1547634659727;-0.04171337;-0.48101273;-0.1285086;-9.719568;515;389;1
1547634659778;-0.7763224;-0.7439815;0.28509954;-9.118499;517;388;1
1547634659829;0.3042807;0.31319934;-0.43139303;-13.08076;518;389;1
1547634659879;-0.12049753;-0.09986774;0.060981803;-9.47128;516;390;1
1547634659929;-0.015620696;-0.6279346;-0.03375467;-8.272656;515;391;1
1547634659977;0.39425242;0.49844858;0.06949901;-9.270982;505;391;1
1547634660027;0.20847958;0.74331826;0.060458206;-8.55501;505;391;1
1547634660077;0.03387684;0.19182913;0.04342379;-9.2513685;507;392;1
1547634660129;-0.006038839;0.07311184;0.008813913;-8.512278;510;392;1
1547634660178;0.21380283;0.11517428;-0.15245451;-7.8966618;514;393;1
1547634660229;0.37137115;0.16734217;-0.20303415;-9.618734;513;393;1
1547634660278;0.57311374;0.5181359;-0.19238764;-8.583989;513;393;1
1547634660328;0.4379031;0.54581684;-0.04066617;-8.812329;511;393;1
1547634660378;0.020559978;0.19289379;0.07642797;-8.689055;513;393;1
1547634660429;-0.1609368;0.19980529;0.04288274;-9.079799;516;393;1
1547634660477;-0.57402134;0.041695915;0.06897541;-9.1713915;517;393;1
1547634660527;-0.18596484;-0.11798426;-0.028431414;-8.886367;525;393;1
1547634660577;0.12863077;0.13592625;0.004555309;-9.110962;526;393;1
1547634660627;0.063687064;0.3429921;0.08388052;-9.385424;528;393;1
1547634660704;0.15418239;0.05820673;0.01733112;-8.964159;529;394;1
1547634660753;-0.098663464;-0.028553586;0.0567232;-9.075586;530;394;1
1547634660804;0.34475487;0.25569072;0.08175122;-8.880898;530;394;1
1547634660854;0.6881135;-0.22019073;-0.09922197;-7.6361146;534;393;1
1547634660904;-0.11993903;0.05127777;0.038100537;-10.441381;535;393;1
1547634660954;-0.22800982;0.21577506;0.121143304;-9.335509;540;392;1
1547634661004;-0.09386381;-0.028553586;0.09611528;-4.6156187;541;393;1
1547634661054;-1.2415574;-0.04717625;0.35749578;-8.960702;541;392;1
1547634661104;-1.3890028;-0.81533056;-0.009791297;-7.1478033;535;393;1
1547634661154;-0.5362175;-0.716318;-0.43352234;-9.641221;532;394;1
1547634661203;0.09030333;-0.054105207;0.13178982;-9.708967;540;394;1
1547634661253;-0.30358258;0.03637266;-1.129804;-3.168927;541;391;1
1547634661304;-0.41430625;0.19874065;-1.2527798;-9.667537;539;391;1
1547634661354;0.108943455;-0.049846604;0.004555309;-12.334621;531;392;1
1547634661404;0.31442106;0.29136527;-0.15564846;-10.043054;532;391;1
1547634661454;1.5813556;-0.05836381;1.6010079;-12.5622225;523;391;1
1547634661504;-0.6921801;-1.4791316;1.2954532;-3.0614178;519;391;1
1547634661556;0.08339183;-2.2962599;-0.5857674;-7.623157;527;393;1
1547634661605;-0.42921138;-0.63488096;-0.008744099;-9.608286;531;394;1
1547634661654;0.091909036;0.05979498;-0.083269656;-8.557145;537;394;1
1547634661704;0.20476203;0.7683114;-0.12424999;-9.269659;538;394;1
1547634661754;-0.09119345;-0.59229493;-0.06197664;-9.304366;539;394;1
1547634661804;-0.2918714;-1.2215036;0.04288274;-9.315925;534;394;1
1547634661854;-0.12950343;0.18010053;-0.05878269;-8.642216;536;394;1
1547634661905;-0.021450097;-0.27129397;-0.17057103;-8.358043;531;395;1
1547634661955;0.24256586;-0.09829694;-0.28501227;-8.347096;527;394;1
1547634662004;0.21488494;-0.00726057;-0.2733011;-9.107486;521;395;1
1547634662080;0.21542598;-0.11746066;-0.20676915;-8.585061;508;394;1
1547634662105;0.18455112;-0.21647319;-0.17215927;-8.656649;488;394;1
1547634662154;0.13290682;0.12793264;-0.15618952;-8.406779;479;394;1
1547634662202;0.75998616;0.013473942;-0.4638736;-8.523942;477;393;1
1547634662254;0.43900266;0.19446458;-0.1971873;-7.57603;472;393;1
1547634662304;0.33838442;-0.15152949;-0.25467846;-9.265734;477;393;1
1547634662354;2.539035;-1.3322272;0.6012834;-12.916469;476;393;1
1547634662406;1.9172791;-0.063687064;0.58211964;-5.671768;456;394;1
1547634662452;0.047211155;0.044348817;0.017854718;-7.741498;450;394;1
1547634662503;0.18668042;0.3733259;-0.11040953;-6.7661867;450;392;1
1547634662579;0.30911526;0.64161795;-0.11946779;-11.101933;448;390;1
1547634662630;0.9553583;0.22427481;0.3521551;-10.275186;435;390;1
1547634662679;-0.42973498;0.3328692;-0.1886701;-6.273536;422;390;1
1547634662729;-1.0876892;0.44731042;-0.32388076;-9.61045;396;391;1
1547634662779;-0.9013578;0.6948505;-0.019390607;-9.618399;405;392;1
1547634662829;-0.2844014;0.6943094;0.011466813;-8.997066;422;393;1
1547634662877;-0.15983725;-0.050911255;0.21800907;-11.56477;450;392;1
1547634662928;0.072239175;0.21095794;0.12112585;-7.6067815;444;392;1
