Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight;mistake
1.54764E+12;0.18097319;-0.026529005;-0.044331364;-9.574633;757;241;933;602;1
1.54764E+12;0.12774065;-0.025464354;-0.051242866;-9.609885;760;237;932;601;1
1.54764E+12;0.16767378;0.012845623;-0.07840019;-9.617882;761;235;932;601;1
1.54764E+12;0.17990854;0.011257374;-0.12896238;-9.682286;763;235;931;599;1
1.54764E+12;0.20546016;-0.0856084;-0.099152155;-9.684068;765;233;931;599;1
1.54764E+12;0.16660912;-0.002565634;-0.14280283;-9.866113;766;229;931;598;1
1.54764E+12;0.121876344;-0.041434117;-0.097022854;-9.835792;767;226;930;598;1
1.54764E+12;-0.03778638;-0.03556981;0.007295476;-10.195622;766;226;930;597;1
1.54764E+12;-0.17886133;0.14327408;0.04082325;-9.779941;765;227;930;597;1
1.54764E+12;-0.10220648;0.1017527;-0.076270886;-9.343095;764;229;930;598;1
1.54764E+12;0.013823007;-0.016406095;-0.10128146;-9.5007;759;227;929;599;1
1.54764E+12;0.10857693;-0.03556981;-0.16996016;-9.770383;750;222;930;600;1
1.54764E+12;0.2544341;-0.038240165;-0.1433439;-9.943015;742;210;931;602;1
1.54764E+12;0.32311282;-0.06857399;-0.13163273;-9.636078;736;211;931;602;1
1.54764E+12;0.2735978;-0.015882496;-0.123115525;-10.048656;729;211;931;602;1
1.54764E+12;0.11231194;0.08258898;-0.12363912;-9.642906;723;208;931;602;1
1.54764E+12;0.011693706;0.115052104;-0.07946484;-9.87772;721;212;930;602;1
1.54764E+12;-0.011170107;0.14008012;-0.02994985;-9.703115;717;210;930;603;1
1.54764E+12;-0.008517207;0.115052104;-0.013456488;-9.689449;715;204;931;605;1
1.54764E+12;0.09740683;0.11878711;-0.034749504;-9.612643;710;200;932;606;1
1.54764E+12;0.1282817;0.041591197;-0.054436818;-9.617681;708;200;932;608;1
1.54764E+12;0.07450811;0.05862561;-0.034749504;-9.768927;700;197;932;610;1
1.54764E+12;-0.027680922;-0.010559242;0.00143117;-9.968287;691;194;933;612;1
1.54764E+12;-0.001064651;0.052237704;-0.025691247;-9.79422;685;189;933;612;1
1.54764E+12;-0.012234758;0.014433873;-0.033143803;-9.482572;685;185;934;613;1
1.54764E+12;-0.081437066;-0.05581563;-1.40E-04;-9.808105;686;186;934;613;1
1.54764E+12;-0.003717551;-0.028134707;0.019530235;-9.819771;686;187;934;614;1
1.54764E+12;-0.05269149;-0.023876105;-0.007068583;-10.176143;686;182;935;612;1
1.54764E+12;0.073984504;0.08152433;0.031782445;-9.403927;685;184;935;613;1
1.54764E+12;0.28424433;-0.002042035;-6.81E-04;-9.65118;685;188;934;612;1
1.54764E+12;0.23368213;-0.07391469;0.089273594;-9.585484;687;194;935;611;1
1.54764E+12;0.3252421;-0.14844026;0.06265732;-9.598576;685;200;935;608;1
1.54764E+12;0.25497514;-0.03291691;0.15474088;-9.243217;661;218;935;597;1
1.54764E+12;0.47588146;-0.2517114;0.15048228;-9.07366;641;227;936;589;1
1.54764E+12;0.96244437;-0.25968754;0.120148465;-9.633999;633;223;936;582;1
1.54764E+12;1.2802339;-0.30546752;0.16538739;-9.967282;641;215;936;576;1
1.54764E+12;1.4937052;-0.30600858;0.2340661;-9.840438;663;205;934;569;1
1.54764E+12;1.6736311;-0.24691173;0.3240204;-9.732085;678;196;932;568;1
1.54764E+12;1.630504;-0.17770943;0.4017399;-9.379994;686;185;933;572;1
1.54764E+12;1.4165093;-0.19741419;0.38631117;-8.767682;689;177;934;581;1
1.54764E+12;1.5937823;-0.05368633;0.27824038;-9.2296095;694;170;933;590;1
1.54764E+12;1.7731673;0.27527332;0.31285027;-9.43914;703;165;931;590;1
1.54764E+12;1.1343768;-0.07604399;0.2926219;-9.844919;708;151;937;583;1
1.54764E+12;0.63985515;0.02029818;0.45177847;-11.004594;714;155;946;575;1
1.54764E+12;0.8059407;0.08257153;0.5417502;-7.6774673;738;187;946;575;1
1.54764E+12;0.88791883;-0.2256187;0.22874285;-9.333862;778;197;945;562;1
1.54764E+12;1.1077604;-0.017488198;0.36501816;-8.943187;802;202;950;519;1
1.54764E+12;0.99225456;-0.2921681;0.23246041;-8.707798;814;204;950;519;1
1.54764E+12;0.88950706;-0.11756538;0.2511005;-9.714014;829;215;950;495;1
1.54764E+12;0.94382167;0.06234316;0.27504644;-9.007121;841;225;948;478;1
1.54764E+12;0.9086708;-0.12821189;0.20851448;-8.923468;845;227;949;473;1
1.54764E+12;0.76600754;-0.12128293;0.17231636;-9.479698;859;228;946;459;1
1.54764E+12;0.5850344;-0.065397486;0.124930665;-8.726664;860;240;948;456;1
1.54764E+12;0.45300022;-0.07337364;0.0418879;-8.287069;858;254;947;454;1
